country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
Georgia,-2.1501795577,-2.4058832835,-1.8833969359,0.5400855606,-0.829018311,0.2230109669,2.1682648276,-0.4389832011,-0.7406976076,0.032466714,-0.2878161839,1.1552965457,-0.386156546,1.0918501556,1.4448718081,-0.1627860032,-0.5532427561,0.3653419728,-0.2299109802,-1.0224617425,-0.2201547103,0.6205496989,0.2807160991,0.2977744216,0.4046366185,0.3522027912,-0.8342859832,0.2442416626,0.3949769011,-0.1713204286
Ghana,1.9413308326,-3.9364219846,-0.1035807113,0.2387924577,1.6017103251,0.0285154547,0.402310385,0.0580760618,1.0671387373,0.3594596649,0.4331889749,0.3015541908,-0.0243081984,-0.7729689125,0.2875717381,1.0774240636,-0.7029323049,0.2654873061,-0.1971227404,-0.5436567873,-0.7173860944,0.5176871803,0.158471984,0.0514738999,0.3629129144,0.1765739794,-0.8212689313,0.3052832322,-0.5923847442,-0.8403901879
Guatemala,1.6946062645,-2.2964955985,-1.3600257152,0.7160686443,-0.4017254294,-2.8173786116,-0.9422345721,-0.4251240971,1.7471536191,-1.0415281398,-0.4931376815,1.9719541586,-1.0177345062,-0.4501065739,-1.1836291831,-0.520546887,0.9139999041,-0.146629811,-1.6405158794,-0.4923674574,0.5575669651,0.4987417229,0.6764741569,0.5207922811,-1.4491349895,-0.4983994316,-0.1639496673,0.2146850585,-0.2733161111,-0.4489282083
Guinea,9.1005126209,-3.3270307793,1.778610987,1.8569946269,0.4564377405,0.220155287,0.7043206206,-1.0824653373,-0.3043764761,0.1898881808,-0.0214488462,0.0046736167,-0.0807411098,0.198537833,-1.3531611077,0.5486047116,0.4943071869,-0.7408076328,-0.3652475441,-0.9672576884,0.3171088167,1.1175420968,-1.6426568246,0.5242765229,0.3794621555,-1.1463638911,-0.024154811,-1.3399115045,-0.9331645397,-1.4610448053
Guyana,0.8604758722,-3.1873666748,-0.8542645006,0.1403029592,2.1295251027,2.6525744493,0.68708095,-2.1922781445,-0.2593549991,2.6126249839,-0.5906244983,0.7054029496,-0.1554844336,-1.8788361019,1.4272762479,-2.1610897104,0.9916682106,-0.246660249,-1.2741079116,-0.085394295,-0.95800795,-0.6019501424,-1.9548906548,-1.0919251136,-2.2060355872,-0.2072380323,2.0295531243,0.9595280132,0.2860004139,-0.6865830662
Haiti,8.234523476,-0.745459505,-0.6598200661,0.5148262025,1.9696978972,0.0059879007,-0.0947125299,0.4691539207,-0.8499891677,0.6832676633,-1.3669608434,-1.3522010686,-2.5832598145,-0.1044210795,-1.6323073758,0.6889875752,2.6858183748,1.3602128551,0.3466127979,0.4587622946,2.044183635,-2.0898261957,1.7517015203,0.7223670373,-0.626076773,-0.3494935734,-0.8151553694,-1.8412871483,1.6235320585,0.9971050348
Honduras,2.6763381437,-4.1735450002,-0.0424514869,0.0753781716,-1.6972408563,-2.1217301864,0.5336554781,0.6376385171,0.715408262,-0.7246249483,0.0718528686,0.4304161814,0.2866466009,0.3757957614,1.0723953728,-1.0573656738,-0.3109406779,0.9502758549,-0.6229261646,-1.0111119876,-0.8716609586,0.177204951,-0.1567729497,0.7089380691,-0.5812519965,0.3651775916,-0.0060754595,0.3646812074,-0.6799722978,-0.136611255
India,1.6936783711,1.2287193071,-1.1450807517,2.7436664601,1.1774261995,0.2043578544,-0.8166834681,-0.1481623147,1.0498798444,-0.7545673533,-0.0244428413,-0.9366408723,0.4455109931,0.2692192313,-0.2382190646,-0.5493700611,-0.9627888001,0.4623860721,-0.1466090808,0.0715990546,-0.6479621706,0.744402432,-0.1970034604,-0.5655164731,-0.8042229969,1.3043073347,0.4737881155,-0.9354137198,0.3736052371,-0.2122348037
Indonesia,0.9537491229,0.1444971028,-0.7443512867,2.0719242912,0.91988166,-1.6093180307,-0.0873863521,-0.9535587329,0.1806524069,0.2223991244,0.3880684761,1.2662729112,-0.3179946055,1.4026425104,-1.277856335,0.460994871,-0.1474100691,-0.7572782502,0.7869868957,0.3932628241,0.3233592054,1.0228418511,-0.145936953,0.5955185579,0.5912520101,0.616422711,0.5655812648,-0.4121830724,0.0945760056,0.3776349003
Iran,0.769129075,6.1262036294,-0.0330139028,1.6609842102,2.9043813406,-1.9449502647,0.0076143477,-2.8817174717,-0.2616521273,-1.2937413725,-1.0910675656,-1.953761482,-0.2962064776,-0.7981263309,-1.2214872007,-1.4813517807,0.4515100222,-0.880515837,0.2780607175,0.2067744326,-1.5111756039,0.0583011846,-0.579378876,1.0774845302,-1.5270553523,0.7287007231,-0.2917149776,-0.253051997,0.3188683337,0.2257050707
